hash,createDB,sizeResult,buildTime
2820964c84ed0a96993fc37c3384a6dcfcedae9afd35db5737dc307677cd2f109b697031b8dbeb9e1c50bdf12945c985e8cc033c3b1271ba5f8581b785c0eccb,1,159,0:00:18.695773_0
99d67367afed8cf5a9b02e77c50bff1bd1e74525ca685e453bb752d998084c9395702eb87e7b170e1b3de8373097a42574c7f67cde794f3ad5b748918261b926,1,159,0:00:14.007196_0
8f808cd6df967ce317fe97498b27b8faf193a2afd6bda10ed61318953f38a31fb4565f5bc260c6b5708e633d1c5ee118ce7b0264f553583c705faa3f19a976fd,1,159,0:00:10.825904_0
a23301d663e94c5477ab088fb4cb996461dbcaa517fe51b8204bf3eeed42568115402c271908718a43e7474ede7697329ca53100f5b5653f4bc1a0b14d2fe2ad,1,159,0:00:09.300636_0
2de908dc7de7ce17e622a087e9399e92149bdda26c53edea70a38537a3ab8c69a707f2127ddf4ace2ab37383fbaa8172bdfe2fca67675621759660e90383447b,1,159,0:00:25.790024_0
cdf3c79d8c72993eb852e91c0ba6076f27dc7281c2f09a00ff742b63da653ea00e0b3bbe9971e59e2b40c2a398961759aed6b2910fc8622cd283d0e0d4653c5e,1,159,0:00:07.707021_0
07b794004baf7baf26dc645fc8182a22eff309e78aade91f74ebf1b24ba00db0fec56447e6dc604c6431784738c21443120631c81867d7d96fe3cc0c3ceb6681,1,159,0:00:13.945915_0
12f2394371d8e26f6236f2e97b4ab23bd165fa6125b90d127b573fcd7487f3c376ee0a48138cf5970a8c32eb859aafdd64764cd883bb3507ecfa68cf8ba2edee,1,159,0:01:18.190541_0
8debad257a1ac2fdb4d9112042cbcb58f36aec555546a22ef9cb0ca915097fd3a3387f61d04046b5cfc5b318c80a96ad907ae9ce01ba47b83ae766cb0d9fb72f,1,55338,0:01:53.343816_2022_07_25_10_12_23
a62ee183e7ab0ea7d8a46462e90a50b2a643be103fcdd6a1c4d9dcd4ee7b2960a1d660087de4815ae159ebf483094a55ef4f891897c1a711c3f09181925d5edc,1,159,0:00:29.239896_0
bd9377ea59c9fa89538fcd6e9d2fd72d219d1a53c7a5f839fe844704a48eeeefc98c39206d17faa61846f44e7592c51bafae02280092ff6e92b60840f71cb4ae,1,996,0:00:12.126695_2022_07_25_10_18_44
1b548cb9803592fbe523b70b9f29a7ba6477f7a38c2f11a9a4b70a3add6e949deb6726f27ab13dd934384fdaf19322698efe29c4e075be3e37c94fa3e035fcfa,1,159,0:00:12.226362_0
ccef50ac1bba48c11c9c0201890da20f44ce6d112246b00ac31d90cca171997e106aad7db0d8a8c3b67e25ce638cda7f598e69b9eec68a159548b71893d8d9a2,1,159,0:00:13.392555_0
593fdc413bf3577851b1ddd9a51f339b3927acfb556b1c57f4d5f6c7f98e3e715aab558fd4f6495ff12c71f4a53344e76802517feda39c92aa799a2ccfa2f09e,1,159,0:00:18.766265_0
929607e6114e2db3ab3cd45bc1752959d08984a02303114f9c5fc514cbe3102db5b0f3c143001bf521b543d38b36d50f5024cc1a847bf62a0e18827384b0b37c,1,159,0:00:13.024951_0
908db427eb83a5da731f8e85b87f844075d7e041b500a947929e073cdf0baee14c97d1a9f9da9107d095931b76f779121e282d90dd298eae7d489bd71b673447,1,159,0:00:30.072782_0
5001527a031dc47df91a45fd79cf8bee22827d466641b5b91e9e4fa4c9d3c6fded08269784876f3875c97220e48375b43d5287010186587362c242a9e8391321,1,1162,0:00:13.083078_0
87b010bb46b9c85f656d6bff862a56a220e65c27441016b612ffcc839126c67829f9530eb7dc482cddbe5463760079ef0e18000bbac02c9bb45a17155d922f59,1,159,0:00:12.362162_0
55fdc56517f46c281ff12c4b57201b287de22f1257bd0ada0b2d70c5d48b793bb0ad15e96d2c1ce4fc08d224d8264ac5ab8e6aaf4bfbaa9b8bab69aa4522d5f7,1,159,0:00:25.618922_0
0bbd20d13a5518a5c857ffff37da5af51f378f1d05d53b0c4e60f91ab2766d7cb1bd5aa6f19833d42c75702f91b20fafdf7a0ab79f63ca62bf1de5cfb8a09c8c,1,159,0:00:49.144818_0
